revenue_rnk,rating_rank,product_id,recent_month_sale,cumulative_sale,total_sales,price,rating,ratings_total,rating_weighted_score,revenue,rating_range_id,price_range_id,availability_id,condition_id,is_new,is_fba,is_free_shipping,is_prime,cumulative_sale_percentage,top_selling_categories
170,370,477,50,107600,107600,819.0,4.1,458.0,25.129105861248235,40950.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
171,308,231,200,94300,107600,200.5,4.5,350.0,26.373538005596394,40100.0,1,3,3,,1,1,0,1,0.876394,Trivial Many
172,666,825,100,101400,107600,399.99,4.4,15.0,12.199390377855037,39999.0,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
173,148,189,100,101400,107600,399.42,4.3,1394.0,31.1347936852985,39942.0,2,4,1,3.0,0,0,1,0,0.942379,Trivial Many
174,262,521,100,101400,107600,398.95,4.3,608.0,27.570818551152556,39895.0,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
175,446,699,100,101400,107600,394.97,4.6,139.0,22.731555144002797,39497.0,1,4,1,3.0,1,0,1,0,0.942379,Trivial Many
176,24,643,50,107600,107600,789.0,4.8,3577.0,39.27628446752959,39450.0,1,5,1,1.0,1,1,1,1,1.0,Trivial Many
177,238,137,500,79000,107600,78.0,4.1,1088.0,28.671362004025134,39000.0,2,1,1,3.0,1,0,1,0,0.734201,Vital Few
178,267,296,50,107600,107600,779.99,4.3,527.0,26.957114019936924,38999.5,2,5,1,3.0,1,1,1,0,1.0,Trivial Many
179,269,298,50,107600,107600,775.99,4.3,527.0,26.957114019936924,38799.5,2,5,1,3.0,1,1,1,0,1.0,Trivial Many
180,498,359,50,107600,107600,769.0,4.4,103.0,20.435319956222042,38450.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
181,406,796,100,101400,107600,379.99,4.6,167.0,23.57023430525499,37999.0,1,4,1,5.0,1,0,1,0,0.942379,Trivial Many
182,119,155,500,79000,107600,75.0,4.0,3247.0,32.34317880512627,37500.0,2,1,1,3.0,1,0,1,0,0.734201,Vital Few
183,123,662,50,107600,107600,749.99,4.5,1308.0,32.29658444659455,37499.5,1,5,1,1.0,1,0,1,0,1.0,Trivial Many
184,538,140,50,107600,107600,749.95,4.4,61.0,18.159391294198404,37497.5,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
185,517,893,50,107600,107600,739.99,4.7,67.0,19.831686214327704,36999.5,1,5,1,1.0,1,0,1,0,1.0,Trivial Many
186,141,83,500,79000,107600,73.97,4.2,1802.0,31.488270337453937,36985.0,2,1,1,3.0,1,0,1,0,0.734201,Vital Few
187,367,471,50,107600,107600,719.0,4.1,458.0,25.129105861248235,35950.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
188,227,808,100,101400,107600,350.0,4.4,734.0,29.039430196536482,35000.0,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
189,693,639,50,107600,107600,699.99,4.3,9.0,9.901115899874396,34999.5,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
190,291,288,50,107600,107600,699.95,4.3,520.0,26.899725179539477,34997.5,2,5,1,3.0,1,0,1,0,1.0,Trivial Many
191,154,274,100,101400,107600,349.0,4.3,1394.0,31.1347936852985,34900.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
192,136,66,50,107600,107600,689.0,3.9,3243.0,31.529793419417686,34450.0,3,5,1,4.0,1,0,0,0,1.0,Trivial Many
193,366,472,50,107600,107600,689.0,4.1,458.0,25.129105861248235,34450.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
194,359,269,100,101400,107600,342.3,4.2,425.0,25.428645254331357,34230.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
195,228,35,50,107600,107600,680.0,4.2,984.0,28.949094892922776,34000.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
196,49,103,100,101400,107600,339.0,4.2,4912.0,35.69848813510832,33900.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
197,296,281,50,107600,107600,659.96,4.3,520.0,26.899725179539477,32998.0,2,5,1,3.0,1,0,1,0,1.0,Trivial Many
198,371,7,300,87900,107600,109.99,4.2,394.0,25.11132021258471,32997.0,2,2,1,3.0,1,0,1,0,0.816914,Trivial Many
199,147,188,100,101400,107600,329.0,4.3,1394.0,31.1347936852985,32900.0,2,4,1,3.0,1,0,1,0,0.942379,Trivial Many
200,573,830,200,94300,107600,163.33,3.9,61.0,16.095824101675856,32666.000000000004,3,2,1,3.0,0,0,1,0,0.876394,Trivial Many
201,570,681,50,107600,107600,649.0,5.0,27.0,16.66102255087602,32450.0,1,5,1,3.0,1,0,1,0,1.0,Trivial Many
202,628,925,50,107600,107600,639.99,3.9,40.0,14.4829310601468,31999.5,3,5,1,1.0,1,0,1,0,1.0,Trivial Many
203,472,308,100,101400,107600,319.0,4.2,166.0,21.495574012150374,31900.0,2,4,1,3.0,0,0,1,0,0.942379,Trivial Many
204,379,611,50,107600,107600,635.0,4.5,244.0,24.755661947451273,31750.0,1,5,1,1.0,1,0,1,0,1.0,Trivial Many
205,210,466,50,107600,107600,629.99,4.3,882.0,29.168298362597024,31499.5,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
206,567,544,50,107600,107600,612.0,4.0,68.0,16.93642601838904,30600.0,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
207,396,820,100,101400,107600,305.1,4.2,276.0,23.620873525986823,30510.000000000004,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
208,397,821,100,101400,107600,305.1,4.2,276.0,23.620873525986823,30510.000000000004,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
209,398,822,100,101400,107600,305.1,4.2,276.0,23.620873525986823,30510.000000000004,2,4,1,1.0,1,0,1,0,0.942379,Trivial Many
210,574,785,50,107600,107600,599.99,4.0,52.0,15.881167654208488,29999.5,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
211,568,747,50,107600,107600,599.99,4.1,61.0,16.921250978684874,29999.5,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
